Evaluation date,Type of place evaluated,Commune name,Municipal section name,Neighborhood name,Name of the site,Spontaneous site type,Internally displaced households,IDPs counted,Site size in meters,Land ownership,Site creation date,Presence of IDPs?,Presence of old IDP returned?,Baby boys under 1 year old,Baby girls under a year old,Boys from 1 to 5 years old,Girls from 1 to 5 years old,Boys from 6 to 11 years old,Girls from 6 to 11 years old,Boys from 12 to 17 years old,Girls from 12 to 17 years old,People aged 60 and over,Department of origin for majority of IDPs,Municipality of origin for majority of IDPs,Municipal section of origin for IDPs,District of origin for IDPs,Date fled,Reason for fleeing,Reason why IDP chose to take refuge in this place,Is the place accessible?,Tension between displaced people and the host community?,Distribution of food received?,Health assistance,Assistance psychosocial,Assistance WASH,Distribution CASH,Education assistance,Possession of identity documents by the majority of displaced persons?,If not why ?,"What are the 3 main
security concerns in the
site?",Do boys attend school?,Do girls attend school?,Health problems,proportion vaccine cholera,Why not cholera vaccine,How much Death Cholera,Food source,Access to fertile land,Proportion of persons carrying out a subsistence activity
2023-03-03,Host community,Delmas,1re Section St Martin,Caradeux - Terrain Toto,Not applicable to host communities,Not applicable to host communities,781,2411,Not applicable to host communities,Not applicable to host communities,Not applicable to host communities,Yes,No,67,34,41,83,92,113,237,533,77,Ouest,Croix-Des-Bouquets,2ème Varreux (Canaan - Jerusalem),Canaan - Jerusalem,2022-6,Attack/violence,Relationship or friendship with members of the host community,Yes,Yes,no,no,no,no,no,no,Yes,,"attaque ga,g kidnapping vol",some,some,Disease_Peau Fever,About half of the people,fear,53,Purchase_Marche loan,"In any case, there is no cultivable land available in the area",some
2023-02-21,Site,Port-au-Prince,1re Section Turgeau,St Jean Bosco - Portail St Joseph,Nan grant,Site installed on an air space,573,2292,Over 150 square meters,To private persons,2022-07-01,Yes,,100,200,150,180,120,150,350,380,32,Ouest,Port-au-Prince,6ème Turgeau,Delmas 2 - Saint-Martin - Tokyo,2022-6,Attack/violence,Secure location closest to provenance,Yes,Yes,no,no,no,no,no,no,Yes,,"Attack GA, G Fight gang gang police",some,some,infection_plaie cough fever,A few people (about 25%),fear not,3,Borrowing bake purchase_marche,No access to cultivable land,some
2023-03-09,Site,Port-au-Prince,1re Section Turgeau,Poste Marchand,Terrain Basket (Corridor Lumiere),Site installed on an air space,350,1750,Over 150 square meters,Public space / government,2023-03-01,Yes,,20,30,40,60,40,65,100,145,150,Ouest,Port-au-Prince,6ème Turgeau,Poste Marchand,2023-3,Attack/violence,Secure location closest to provenance,Yes,no,no,no,no,no,no,no,Yes,,"Attack GA, G Fight gang gang police",some,some,diarrhee infection_plaie cough,Nobody,Pas_vaccin fear,,Production_Subsistance borrowing troc,No access to cultivable land,some
2023-02-21,Host community,Delmas,1re Section St Martin,Delmas 65,Not applicable to host communities,Not applicable to host communities,500,1623,Not applicable to host communities,Not applicable to host communities,Not applicable to host communities,Yes,No,66,86,69,92,91,138,93,175,28,Ouest,Croix-Des-Bouquets,2ème Varreux (Canaan - Jerusalem),Meyer - Dessources,2022-6,Attack/violence,Relationship or friendship with members of the host community,Yes,no,no,no,no,no,no,no,Yes,,"vol attaque ga,g kidnapping",some,some,Fivem cough illness_peau,The majority of people (around 75%),Pas_vaccin fear,,Purchase_Marche Production_Subsistance,"In any case, there is no cultivable land available in the area",some
2023-02-21,Host community,Port-au-Prince,3e Section Martissant,Descayettes,Not applicable to host communities,Not applicable to host communities,318,1590,Not applicable to host communities,Not applicable to host communities,Not applicable to host communities,Yes,Yes,30,40,100,150,120,130,300,320,80,Ouest,Port-au-Prince,8ème Martissant,Descayettes,2021-11,Attack/violence,Relationship or friendship with members of the host community,"No, because of security",Yes,no,no,no,no,no,no,Yes,,"Ga attack, g gang font flight",some,half,cough fever,Nobody,fear,10,Borrow purchase_marche,No access to cultivable land,some
2023-02-17,Host community,Port-au-Prince,3e Section Martissant,Cite Neuf,Not applicable to host communities,Not applicable to host communities,318,1590,Not applicable to host communities,Not applicable to host communities,Not applicable to host communities,Yes,Yes,30,40,100,150,120,130,300,320,80,Ouest,Port-au-Prince,8ème Martissant,Cite Neuf,2022-11,Attack/violence,Access to the best living conditions,"No, because of security",no,no,no,no,no,no,no,Yes,,"Attack GA, G Gang Police Combat Gang",some,some,Cholera disease fever_peau,A few people (about 25%),fear,3,Purchase_Marche loan,No access to cultivable land,none
2023-02-15,Site,Cité Soleil,2e Section des Varreux,Boston,Cultural home in Mexico,School,366,1587,Over 150 square meters,Public space / government,2022-07-01,Yes,,18,14,19,18,37,44,44,35,99,Ouest,Cité Soleil,1ère Varreux,Boston,2021-7,Attack/violence,Secure location closest to provenance,Yes,no,no,Yes,no,no,no,no,no,No office,gang police,some,some,cholera illness_peau cough,The majority of people (around 75%),fear,8,Borrowing,No access to cultivable land,some
2023-03-07,Host community,Delmas,1re Section St Martin,Nazon,Not applicable to host communities,Not applicable to host communities,300,1500,Not applicable to host communities,Not applicable to host communities,Not applicable to host communities,Yes,No,50,50,70,80,100,120,150,200,50,Ouest,Delmas,5ème Saint Martin,Nazon,2023-2,Attack/violence,Relationship or friendship with members of the host community,Yes,no,no,no,no,no,no,no,Yes,,"Ga attack, g fight gang kidnapping",none,none,diarrhee disturbances_psychologies disease_peau,Nobody,no_vaccin,,Borrow purchase_marche,"In any case, there is no cultivable land available in the area",some
2023-03-09,Site,Port-au-Prince,1re Section Turgeau,Poste Marchand,Gentient detivation of Nigerian San (Lanuwu).,Health center,250,1250,Over 150 square meters,Public space / government,2023-03-01,Yes,,15,20,20,30,15,25,80,150,100,Ouest,Port-au-Prince,6ème Turgeau,Fort National,2023-3,Attack/violence,Secure location closest to provenance,Yes,no,no,no,no,no,no,no,Yes,,"GA attack, g gang font",none,none,cough infection_plaie diarrhee,Nobody,Pas_vaccin fear,,Purchase_Marche Troc,No access to cultivable land,some
2023-02-23,Host community,Cité Soleil,2e Section des Varreux,Martial,Not applicable to host communities,Not applicable to host communities,251,1081,Not applicable to host communities,Not applicable to host communities,Not applicable to host communities,Yes,No,25,15,35,50,90,150,35,46,25,Ouest,Cité Soleil,1ère Varreux,Sarthe,2022-5,Attack/violence,Secure location closest to provenance,Yes,no,no,Yes,no,no,no,no,no,No office,"Ga attack, g gang font recruitment child gang",some,some,infection_plaie malnutrition troubles_psychological,About half of the people,fear,5,Borrowing production_subsistance,No access to cultivable land,some
2023-02-23,Host community,Cité Soleil,1re Section des Varreux,Duviviers,Not applicable to host communities,Not applicable to host communities,300,1070,Not applicable to host communities,Not applicable to host communities,Not applicable to host communities,Yes,No,45,30,35,40,40,54,70,84,60,Ouest,Cité Soleil,1ère Varreux,Duviviers,2022-5,Attack/violence,Relationship or friendship with members of the host community,Yes,no,no,no,no,no,no,no,no, Lack of information on the procedures and services available,"Attack GA, G Fight gang gang police",some,some,malnutrition disease_peau cough,A few people (about 25%),fear,,Borrow purchase_marche,No access to cultivable land,some
2023-02-16,Host community,Cité Soleil,2e Section des Varreux,Wharf Jeremie,Not applicable to host communities,Not applicable to host communities,300,1053,Not applicable to host communities,Not applicable to host communities,Not applicable to host communities,Yes,No,50,45,55,40,56,39,100,140,40,Ouest,Cité Soleil,1ère Varreux,Pont-Rouge - Chancerelles,2023-1,Attack/violence,Relationship or friendship with members of the host community,Yes,no,no,no,no,no,no,no,Yes,,"Attack GA, G Gang Police Abuse Police",some,some,disease_Peau troubles_psychologies fever,Nobody,no_vaccin,3,Borrow purchase_marche,"In any case, there is no cultivable land available in the area",some
2023-02-23,Host community,Cité Soleil,1re Section des Varreux,Sarthe,Not applicable to host communities,Not applicable to host communities,250,1052,Not applicable to host communities,Not applicable to host communities,Not applicable to host communities,Yes,No,40,45,45,50,59,75,80,80,40,Ouest,Cité Soleil,1ère Varreux,Sarthe,2022-5,Attack/violence,Relationship or friendship with members of the host community,Yes,no,Yes,Yes,no,Yes,no,no,no,No office,"Attack GA, G Fight gang gang police",some,some,Malnutrition cough disease,A few people (about 25%),fear,,Purchase_Marche loan,"In any case, there is no cultivable land available in the area",some
2023-02-21,Host community,Tabarre,3e Section Bellevue,Tabarre 27,Not applicable to host communities,Not applicable to host communities,202,1010,Not applicable to host communities,Not applicable to host communities,Not applicable to host communities,Yes,Yes,28,36,43,52,48,87,86,101,26,Ouest,Croix-Des-Bouquets,3ème Petit Bois,Duval Ambroise,2022-4,Attack/violence,Access to the best living conditions,Yes,no,no,no,no,no,no,no,Yes,,"Attaque gave, g kidnapping gang police",half,half,diarrhee cough fever,The majority of people (around 75%),not,,Purchase_Marche loan,No access to cultivable land,some
2023-02-24,Host community,Tabarre,4e Section Bellevue,Caradeux,Not applicable to host communities,Not applicable to host communities,200,1000,Not applicable to host communities,Not applicable to host communities,Not applicable to host communities,Yes,No,6,8,32,38,85,110,107,171,42,Ouest,Croix-Des-Bouquets,1ère Petit Bois,Duval,2022-6,Attack/violence,Relationship or friendship with members of the host community,Yes,no,no,no,no,no,no,no,Yes,,"GA, g kidnapping attack",some,some,Malaria Diarrhee fever,The majority of people (around 75%),Pas_souha was afraid,8,Purchase_Marche loan,No access to cultivable land,some
2023-02-23,Host community,Port-au-Prince,3e Section Martissant,Haut Bolosse,Not applicable to host communities,Not applicable to host communities,200,1000,Not applicable to host communities,Not applicable to host communities,Not applicable to host communities,Yes,Yes,45,55,70,90,45,80,80,100,87,Ouest,Port-au-Prince,5ème Saint Martin,Haut Bolosse,2021-6,Attack/violence,Secure location closest to provenance,"No, because of physical access",no,no,no,no,no,no,no,Yes,,"fight gang gang font attacks ga, g",some,some,Cholera fever cough,A few people (about 25%),fear,,Purchase_Marche,No access to cultivable land,some
2023-03-15,Host community,Delmas,1re Section St Martin,Cite Numero 2,Not applicable to host communities,Not applicable to host communities,200,1000,Not applicable to host communities,Not applicable to host communities,Not applicable to host communities,Yes,No,20,40,45,50,52,75,58,87,35,Ouest,Delmas,5ème Saint Martin,Cite Numero 2,2023-3,Attack/violence,Relationship or friendship with members of the host community,"No, because of security",no,no,no,no,no,no,no,Yes,,GA GA-G,half,half,diarrhee disease_peau fever,A few people (about 25%),Pas_souha was afraid,,Barter purchase_marche,"In any case, there is no cultivable land available in the area",some
2023-02-20,Site,Port-au-Prince,1re Section Turgeau,St Jean Bosco - Portail St Joseph,Of if,Site installed on an air space,200,1000,Over 150 square meters,To private persons,2022-07-01,Yes,,30,35,60,65,50,60,60,150,40,Ouest,Port-au-Prince,6ème Turgeau,St Jean Bosco - Portail St Joseph,2022-8,Attack/violence,Access to the best living conditions,Yes,Yes,no,no,no,no,no,no,NSP,,"Ga attack, g fight gang arbitrary arrest",some,some,diarrhee malnutrition infection_plaie,A few people (about 25%),Pas_souha was afraid,2,Borrowing bake purchase_marche,No access to cultivable land,some
2023-03-07,Host community,Delmas,1re Section St Martin,Christ-Roi,Not applicable to host communities,Not applicable to host communities,166,1000,Not applicable to host communities,Not applicable to host communities,Not applicable to host communities,Yes,No,20,30,60,90,50,100,30,70,80,Ouest,Delmas,8ème Martissant,Carrefour Pean,2023-2,Attack/violence,Relationship or friendship with members of the host community,Yes,Yes,no,no,no,no,no,no,Yes,,"Ga attack, g fight gang kidnapping",none,none,cholera fever diarrhee,Nobody,no_vaccin,30,Borrow purchase_marche,"In any case, there is no cultivable land available in the area",some
2023-02-17,Site,Delmas,1re Section St Martin,Ruelle Jeune,Primitive International Church,Temple/Church,200,800,Over 150 square meters,To private persons,2023-02-01,Yes,,40,45,65,95,85,100,80,100,15,Ouest,Croix-Des-Bouquets,2ème Varreux (Canaan - Jerusalem),Canaan - Jerusalem,2023-1,Attack/violence,Secure location closest to provenance,Yes,Yes,no,no,no,no,no,no,no,other,other,none,none,illness_ other fever,Nobody,no_vaccin,,other,No access to cultivable land,half
2023-03-10,Site,Port-au-Prince,1re Section Turgeau,Cite Marc I,PARC Celtique (All Pres Meres de L'Eglise de Kafou Peane),School,160,800,Over 150 square meters,To private persons,2023-03-01,Yes,,12,10,19,27,37,48,80,98,20,Ouest,Port-au-Prince,6ème Turgeau,Solino,2023-3,Attack/violence,Relationship or friendship with members of the host community,"No, because of security",no,no,no,no,no,no,no,Yes,,"Attack GA, G Fight gang gang police",half,half,diarrhee disease_peau fever,A few people (about 25%),Pas_souha was afraid,,Purchase_Marche,"In any case, there is no cultivable land available in the area",some
2023-02-28,Host community,Delmas,1re Section St Martin,Jacquet Tybulle,Not applicable to host communities,Not applicable to host communities,147,789,Not applicable to host communities,Not applicable to host communities,Not applicable to host communities,Yes,No,7,11,15,29,18,25,29,41,23,Ouest,Pétion-Ville,4ème Bellevue la Montagne,Pernier 24,2022-7,Attack/violence,Secure location closest to provenance,Yes,Yes,no,no,no,no,no,no,Yes,,"attaque ga,g vol kidnapping",some,some,Toux fever_psychological disorders,Do not know / no answer,,,Purchase_Marche loan,"In any case, there is no cultivable land available in the area",half
2023-03-10,Site,Port-au-Prince,1re Section Turgeau,Fort National,Voodoo temple / Corridor Hervé Baz Beby Cool,Temple/Church,155,775,Over 150 square meters,To private persons,2023-03-01,Yes,,40,60,30,70,45,55,50,50,15,Ouest,Port-au-Prince,6ème Turgeau,Fort National,2023-3,Attack/violence,Secure location closest to provenance,Yes,no,no,no,no,no,no,no,no,other,"Attack GA, G Fight gang gang police",some,some,diarrhee infection_plaie cough,Nobody,fear not,,seated_hum borrowing troc,No access to cultivable land,some
2023-02-23,Host community,Croix-Des-Bouquets,1re Section des Varreux,Village La Rennaissance - Les Orangers,Not applicable to host communities,Not applicable to host communities,150,750,Not applicable to host communities,Not applicable to host communities,Not applicable to host communities,Yes,No,50,50,30,50,50,70,50,100,50,Ouest,Croix-Des-Bouquets,2ème Varreux (Canaan - Jerusalem),Canaan - Jerusalem,2022-12,Attack/violence,Access to the best living conditions,Yes,no,no,no,no,no,no,no,Yes,,other,all,all,Diarrhee cough fever,Nobody,fear,,Purchase_Marche,"In any case, there is no cultivable land available in the area",about_100
2023-02-28,Host community,Delmas,1re Section St Martin,Carrefour Pean,Not applicable to host communities,Not applicable to host communities,150,750,Not applicable to host communities,Not applicable to host communities,Not applicable to host communities,Yes,No,20,25,30,50,30,45,50,80,25,Ouest,Croix-Des-Bouquets,2ème Varreux (Canaan - Jerusalem),Canaan - Jerusalem,2022-10,Attack/violence,Relationship or friendship with members of the host community,"No, because of security",no,no,no,no,no,no,no,Yes,,"Attack GA, G Fight gang gang police",some,some,cholera infection_plaie disease_peau,A few people (about 25%),other afraid,,Purchase_Marche Troc,"In any case, there is no cultivable land available in the area",some
2023-02-22,Host community,Delmas,1re Section St Martin,Delmas 32,Not applicable to host communities,Not applicable to host communities,145,725,Not applicable to host communities,Not applicable to host communities,Not applicable to host communities,Yes,No,50,67,87,100,57,70,37,50,40,Ouest,Croix-Des-Bouquets,3ème Petit Bois,Marassa - Santo - Djaboul,2022-1,Attack/violence,Relationship or friendship with members of the host community,Yes,Yes,no,no,no,no,no,no,Yes,,"Attack GA, G Gang Police Combat Gang",half,half,Toux malaria diarrhee,A few people (about 25%),fear not,,Purchase_Marche,"In any case, there is no cultivable land available in the area",half
2023-03-01,Host community,Port-au-Prince,2e Section Morne l'Hopital,Saieh,Not applicable to host communities,Not applicable to host communities,140,700,Not applicable to host communities,Not applicable to host communities,Not applicable to host communities,Yes,No,0,0,15,20,20,25,50,70,41,Ouest,Port-au-Prince,7ème Morne l'Hopital,Savanne Pistaches,2022-11,Attack/violence,Secure location closest to provenance,Yes,Yes,no,no,no,no,no,no,NSP,,"GA attack, g sexual violence",some,some,Illness_Peau Diarrhee fever,Do not know / no answer,,,Purchase_Marche loan,"In any case, there is no cultivable land available in the area",NSP
2023-02-20,Host community,Port-au-Prince,2e Section Morne l'Hopital,Sicot,Not applicable to host communities,Not applicable to host communities,135,675,Not applicable to host communities,Not applicable to host communities,Not applicable to host communities,Yes,No,15,20,40,30,20,30,35,40,35,Ouest,Port-au-Prince,7ème Morne l'Hopital,Savanne Pistaches,2022-11,Attack/violence,Relationship or friendship with members of the host community,Yes,no,no,no,no,no,no,no,NSP,,"Another GA attack, G",some,some,Cholera fever disturbances,Do not know / no answer,,,Purchase_Marche loan,"In any case, there is no cultivable land available in the area",NSP
2023-02-24,Host community,Delmas,1re Section St Martin,Delmas 34,Not applicable to host communities,Not applicable to host communities,125,625,Not applicable to host communities,Not applicable to host communities,Not applicable to host communities,Yes,No,20,20,20,30,25,37,30,45,15,Ouest,Delmas,5ème Saint Martin,Delmas 34,2022-7,Attack/violence,Relationship or friendship with members of the host community,Yes,no,no,no,no,no,no,no,Yes,,"Attack GA, G Fight gang Vol",majority,majority,Cough fever,The majority of people (around 75%),fear,,Borrow purchase_marche,"In any case, there is no cultivable land available in the area",some
2023-02-20,Site,Cité Soleil,2e Section des Varreux,Projet Drouillard,Ecole Pelerin de drouillard,School,123,615,Over 150 square meters,To private persons,2022-10-31,Yes,,20,22,19,31,38,46,70,50,38,Ouest,Cité Soleil,1ère Varreux,Projet Drouillard,2022-10,Attack/violence,Relationship or friendship with members of the host community,Yes,no,no,no,no,no,no,no,no,No office,GA GA-G Combat Gang,half,half,infection_plaie disorders_psychological malnutrition,The majority of people (around 75%),fear,1,Borrow purchase_marche,"In any case, there is no cultivable land available in the area",some
2023-02-20,Host community,Port-au-Prince,3e Section Martissant,Sion,Not applicable to host communities,Not applicable to host communities,120,600,Not applicable to host communities,Not applicable to host communities,Not applicable to host communities,Yes,Yes,20,30,23,27,15,35,20,30,120,Ouest,Port-au-Prince,2ème Petit Bois,Sion,2021-6,Attack/violence,Secure location closest to provenance,"No, because of security",no,no,no,no,no,no,no,no,other,"Ga attack, g gang font recruitment child gang",some,some,cholera fever disease_peau,A few people (about 25%),fear,6,seated_hum purchase_marche,No access to cultivable land,none
2023-02-27,Host community,Tabarre,3e Section Bellevue,Croix-des-Missions,Not applicable to host communities,Not applicable to host communities,150,600,Not applicable to host communities,Not applicable to host communities,Not applicable to host communities,Yes,Yes,7,10,14,17,25,37,70,92,80,Ouest,Croix-Des-Bouquets,3ème Petit Bois,Noilles,2022-11,Attack/violence,Relationship or friendship with members of the host community,Yes,no,no,no,no,no,no,no,Yes,,"Attack GA, G Fight gang gang police",some,some,Other fever other,A few people (about 25%),fear not,,Borrowing bake purchase_marche,"In any case, there is no cultivable land available in the area",some
2023-03-02,Host community,Port-au-Prince,1re Section Turgeau,Lelio,Not applicable to host communities,Not applicable to host communities,120,600,Not applicable to host communities,Not applicable to host communities,Not applicable to host communities,Yes,No,20,30,23,27,15,35,20,30,120,Ouest,Port-au-Prince,6ème Turgeau,Lelio,2021-6,Attack/violence,Secure location closest to provenance,Yes,no,no,no,no,no,no,no,Yes,,"fight gang gang font attacks ga, g",some,some,Toux cholera infection_plaie,A few people (about 25%),fear,3,Borrow purchase_marche,No access to cultivable land,some
2023-03-10,Site,Port-au-Prince,1re Section Turgeau,Fort National,Church Church Assembly Chretienne #108,Temple/Church,120,600,Over 150 square meters,To private persons,2023-03-01,Yes,,20,30,25,25,20,30,50,70,20,Ouest,Port-au-Prince,6ème Turgeau,Fort National,2023-3,Relocation by the authorities,Secure location closest to provenance,Yes,no,no,no,no,no,no,no,Yes,,GA GA-G Combat Gang,some,some,diarrhee infection_plaie cough,Nobody,not,,Barter purchase_marche borrowing,No access to cultivable land,some
2023-02-27,Host community,Tabarre,3e Section Bellevue,Clercine,Not applicable to host communities,Not applicable to host communities,120,600,Not applicable to host communities,Not applicable to host communities,Not applicable to host communities,Yes,No,18,24,36,56,53,60,40,46,18,Ouest,Croix-Des-Bouquets,8ème Martissant,Latremblais,2022-8,Attack/violence,Access to the best living conditions,Yes,no,no,no,no,no,no,no,Yes,,"attaque ga,g kidnapping vol",some,some,Malnutrition fever Diarrhee,Nobody,Pas_souha was afraid,,Borrow purchase_Marche barter,"In any case, there is no cultivable land available in the area",some
2023-02-28,Host community,Cité Soleil,2e Section des Varreux,Drouillard,Not applicable to host communities,Not applicable to host communities,115,557,Not applicable to host communities,Not applicable to host communities,Not applicable to host communities,Yes,No,39,31,52,60,69,65,50,48,30,Ouest,Cité Soleil,1ère Varreux,Drouillard,2022-8,Attack/violence,Secure location closest to provenance,Yes,no,no,no,no,Yes,no,no,Yes,,"Attack GA, G Fight gang gang police",some,some,infection_plaie cholera fever,A few people (about 25%),fear,,Production_Subsistance Purchase_Marche,No access to cultivable land,some
2023-02-21,Site,Delmas,1re Section St Martin,Dessalines,Mission Church of God Conquest (Medic),Temple/Church,138,552,Over 150 square meters,To private persons,2023-01-01,Yes,,20,37,30,40,22,27,39,83,42,Ouest,Croix-Des-Bouquets,2ème Varreux (Canaan - Jerusalem),Canaan - Jerusalem,2023-1,Attack/violence,Relationship or friendship with members of the host community,Yes,no,no,no,no,no,no,no,no,other,other,none,none,Other fever other,Nobody,no_vaccin,,other,"In any case, there is no cultivable land available in the area",half
